Regret,NumWaitingJob,STime_A_Avg,STime_B_Avg,STime_A_VS_B_Avg,STime_A_VS_B_Avg_Diff,STime_A_Min,STime_B_Min,STime_A_VS_B_Min,STime_A_VS_B_Min_Diff,STime_A_Max,STime_B_Max,STime_A_VS_B_Max,STime_A_VS_B_Max_Diff,PTime_A_Avg,PTime_B_Avg,PTime_A_VS_B_Avg,PTime_A_VS_B_Avg_Diff,PTime_A_Min,PTime_B_Min,PTime_A_VS_B_Min,PTime_A_VS_B_Min_Diff,PTime_A_Max,PTime_B_Max,PTime_A_VS_B_Max,PTime_A_VS_B_Max_Diff,Due_A,Due_B,Due_A_VS_B,Due_A_VS_B_Diff,MDD_A,MDD_B,MDD_A_VS_B,MDD_A_VS_B_Diff,RT_A,RT_B,RT_A_VS_B,RT_A_VS_B_Diff,ATC_A,ATC_B,ATC_A_VS_B,ATC_A_VS_B_Diff,SLK_A,SLK_B,SLK_A_VS_B,SLK_A_VS_B_Diff,CR_A,CR_B,CR_A_VS_B,CR_A_VS_B_Diff,COVERT_A,COVERT_B,COVERT_A_VS_B,COVERT_A_VS_B_Diff
0,10,0.0,0.0,=,0.0,0,0,=,0,0,0,=,0,46.5,41.5,>,5.0,39,41,<,-2,54,42,>,12,84,238,<,-154,84,238,<,-154,37.5,196.5,<,-159.0,1.922469915680589e-16,1.922469915680589e-16,=,0.0,37.5,196.5,<,-159.0,1.8064516129032258,5.734939759036145,<,-3.928488146132919,0.0,0.0,=,0.0
106,10,0.0,0.0,=,0.0,0,0,=,0,0,0,=,0,41.5,46.5,<,-5.0,41,39,>,2,42,54,<,-12,238,84,>,154,238,84,>,154,196.5,37.5,>,159.0,1.922469915680589e-16,1.922469915680589e-16,=,0.0,196.5,37.5,>,159.0,5.734939759036145,1.8064516129032258,>,3.928488146132919,0.0,0.0,=,0.0
0,10,0.0,0.0,=,0.0,0,0,=,0,0,0,=,0,46.5,42.0,>,4.5,39,36,>,3,54,48,>,6,84,224,<,-140,84,224,<,-140,37.5,182.0,<,-144.5,1.922469915680589e-16,1.922469915680589e-16,=,0.0,37.5,182.0,<,-144.5,1.8064516129032258,5.333333333333333,<,-3.526881720430107,0.0,0.0,=,0.0
56,10,0.0,0.0,=,0.0,0,0,=,0,0,0,=,0,42.0,46.5,<,-4.5,36,39,<,-3,48,54,<,-6,224,84,>,140,224,84,>,140,182.0,37.5,>,144.5,1.922469915680589e-16,1.922469915680589e-16,=,0.0,182.0,37.5,>,144.5,5.333333333333333,1.8064516129032258,>,3.526881720430107,0.0,0.0,=,0.0
0,10,0.0,0.0,=,0.0,0,0,=,0,0,0,=,0,46.5,50.5,<,-4.0,39,44,<,-5,54,57,<,-3,84,162,<,-78,84,162,<,-78,37.5,111.5,<,-74.0,1.922469915680589e-16,1.922469915680589e-16,=,0.0,37.5,111.5,<,-74.0,1.8064516129032258,3.207920792079208,<,-1.4014691791759823,0.0,0.0,=,0.0
101,10,0.0,0.0,=,0.0,0,0,=,0,0,0,=,0,50.5,46.5,>,4.0,44,39,>,5,57,54,>,3,162,84,>,78,162,84,>,78,111.5,37.5,>,74.0,1.922469915680589e-16,1.922469915680589e-16,=,0.0,111.5,37.5,>,74.0,3.207920792079208,1.8064516129032258,>,1.4014691791759823,0.0,0.0,=,0.0
0,10,0.0,0.0,=,0.0,0,0,=,0,0,0,=,0,46.5,46.5,=,0.0,39,35,>,4,54,58,<,-4,84,88,<,-4,84,88,<,-4,37.5,41.5,<,-4.0,1.922469915680589e-16,1.922469915680589e-16,=,0.0,37.5,41.5,<,-4.0,1.8064516129032258,1.89247311827957,<,-0.08602150537634423,0.0,0.0,=,0.0
35,10,0.0,0.0,=,0.0,0,0,=,0,0,0,=,0,46.5,46.5,=,0.0,35,39,<,-4,58,54,>,4,88,84,>,4,88,84,>,4,41.5,37.5,>,4.0,1.922469915680589e-16,1.922469915680589e-16,=,0.0,41.5,37.5,>,4.0,1.89247311827957,1.8064516129032258,>,0.08602150537634423,0.0,0.0,=,0.0
0,10,0.0,0.0,=,0.0,0,0,=,0,0,0,=,0,46.5,44.0,>,2.5,39,31,>,8,54,57,<,-3,84,218,<,-134,84,218,<,-134,37.5,174.0,<,-136.5,1.922469915680589e-16,1.922469915680589e-16,=,0.0,37.5,174.0,<,-136.5,1.8064516129032258,4.954545454545454,<,-3.148093841642228,0.0,0.0,=,0.0
133,10,0.0,0.0,=,0.0,0,0,=,0,0,0,=,0,44.0,46.5,<,-2.5,31,39,<,-8,57,54,>,3,218,84,>,134,218,84,>,134,174.0,37.5,>,136.5,1.922469915680589e-16,1.922469915680589e-16,=,0.0,174.0,37.5,>,136.5,4.954545454545454,1.8064516129032258,>,3.148093841642228,0.0,0.0,=,0.0
