Regret,NumWaitingJob,STime_A,STime_B,STime_A_VS_B,STime_A_VS_B_Diff,PTime_A,PTime_B,PTime_A_VS_B,PTime_A_VS_B_Diff,CompTime_A,CompTime_B,CompTime_A_VS_B,CompTime_A_VS_B_Diff,Start_A,Start_B,Start_A_VS_B,Start_A_VS_B_Diff,Tardy_A,Tardy_B,Tardy_A_VS_B,Tardy_A_VS_B_Diff
0,10,0,0,=,0,41,42,<,-1,41,42,<,-1,0,0,=,0,0,0,=,0
89,10,0,0,=,0,42,41,>,1,42,41,>,1,0,0,=,0,0,0,=,0
0,10,0,0,=,0,48,36,>,12,48,36,>,12,0,0,=,0,0,0,=,0
57,10,0,0,=,0,36,48,<,-12,36,48,<,-12,0,0,=,0,0,0,=,0
0,10,0,0,=,0,57,44,>,13,57,44,>,13,0,0,=,0,0,0,=,0
76,10,0,0,=,0,44,57,<,-13,44,57,<,-13,0,0,=,0,0,0,=,0
0,10,0,0,=,0,35,58,<,-23,35,58,<,-23,0,0,=,0,0,0,=,0
110,10,0,0,=,0,58,35,>,23,58,35,>,23,0,0,=,0,0,0,=,0
0,10,0,0,=,0,57,31,>,26,57,31,>,26,0,0,=,0,0,0,=,0
20,10,0,0,=,0,31,57,<,-26,31,57,<,-26,0,0,=,0,0,0,=,0
0,10,0,0,=,0,39,54,<,-15,39,54,<,-15,0,0,=,0,0,0,=,0
160,10,0,0,=,0,54,39,>,15,54,39,>,15,0,0,=,0,0,0,=,0
0,10,0,0,=,0,58,43,>,15,58,43,>,15,0,0,=,0,0,0,=,0
34,10,0,0,=,0,43,58,<,-15,43,58,<,-15,0,0,=,0,0,0,=,0
0,10,0,0,=,0,51,53,<,-2,51,53,<,-2,0,0,=,0,0,0,=,0
114,10,0,0,=,0,53,51,>,2,53,51,>,2,0,0,=,0,0,0,=,0
0,10,0,0,=,0,56,30,>,26,56,30,>,26,0,0,=,0,0,0,=,0
5,10,0,0,=,0,30,56,<,-26,30,56,<,-26,0,0,=,0,0,0,=,0
0,10,0,0,=,0,30,56,<,-26,30,56,<,-26,0,0,=,0,0,0,=,0
179,10,0,0,=,0,56,30,>,26,56,30,>,26,0,0,=,0,0,0,=,0
0,9,0,87,<,-87,51,53,<,-2,51,179,<,-128,0,39,<,-39,0,72,<,-72
280,9,87,0,>,87,53,51,>,2,179,51,>,128,39,0,>,39,72,0,>,72
0,9,13,0,>,13,58,35,>,23,110,35,>,75,39,0,>,39,22,0,>,22
35,9,0,13,<,-13,35,58,<,-23,35,110,<,-75,0,39,<,-39,0,22,<,-22
0,9,0,64,<,-64,36,48,<,-12,36,151,<,-115,0,39,<,-39,0,0,=,0
31,9,64,0,>,64,48,36,>,12,151,36,>,115,39,0,>,39,0,0,=,0
0,9,44,0,>,44,57,44,>,13,140,44,>,96,39,0,>,39,0,0,=,0
136,9,0,44,<,-44,44,57,<,-13,44,140,<,-96,0,39,<,-39,0,0,=,0
0,9,30,0,>,30,41,42,<,-1,110,42,>,68,39,0,>,39,0,0,=,0
84,9,0,30,<,-30,42,41,>,1,42,110,<,-68,0,39,<,-39,0,0,=,0
0,9,0,38,<,-38,30,56,<,-26,30,133,<,-103,0,39,<,-39,0,0,=,0
32,9,38,0,>,38,56,30,>,26,133,30,>,103,39,0,>,39,0,0,=,0
